,date,new_case,new_death,country
407,2/15/20 23:39,3,0,China
408,2/15/20 22:50,4,0,China
409,2/15/20 22:48,933,100,China
410,2/15/20 19:30,1,0,International
411,2/15/20 12:50,3,0,International
412,2/15/20 11:01,2,1,International
413,2/15/20 10:29,1,0,International
414,2/15/20 10:22,5,0,International
415,2/15/20 09:20,1,0,International
416,2/15/20 07:05,2,0,China
417,2/15/20 07:00,3,0,China
418,2/15/20 02:15,5,0,China
419,2/15/20 02:10,13,0,China
420,2/15/20 01:35,70,0,International
421,2/15/20 01:24,12,0,China
422,2/15/20 01:22,12,0,China
423,2/15/20 01:18,5,0,China
424,2/15/20 01:13,22,0,China
425,2/15/20 01:05,2,0,China
426,2/15/20 01:01,1,0,International
427,2/15/20 00:55,1,0,China
428,2/15/20 00:53,100,1,China
429,2/15/20 00:44,20,0,China
430,2/15/20 00:41,11,2,China
431,2/15/20 00:10,19,0,China
432,2/15/20 00:06,5,0,China
433,2/14/20 23:07,6,0,China
434,2/14/20 22:15,843,139,China
435,2/14/20 20:34,1,0,International
436,2/14/20 15:55,1,0,International
437,2/14/20 13:01,5,0,International
438,2/14/20 12:15,1,0,International
439,2/14/20 10:07,2,0,China
440,2/14/20 10:06,1,0,China
441,2/14/20 09:05,8,0,International
442,2/14/20 08:47,67,0,International
443,2/14/20 07:03,2,0,International
444,2/14/20 06:05,1,0,International
445,2/14/20 05:19,2,0,International
446,2/14/20 04:30,3,1,China
447,2/14/20 04:18,1,0,China
448,2/14/20 03:18,1,0,International
449,2/14/20 02:33,7,0,China
450,2/14/20 02:25,7,0,China
451,2/14/20 02:20,11,0,China
452,2/14/20 02:02,13,0,China
453,2/14/20 02:00,16,0,China
454,2/14/20 01:55,13,0,China
455,2/14/20 01:52,7,0,China
456,2/14/20 01:51,28,0,China
457,2/14/20 01:04,33,0,China
458,2/14/20 00:10,193,3,China
459,2/13/20 23:45,8,0,China
460,2/13/20 23:35,7,0,China
461,2/13/20 23:30,5,0,China
462,2/13/20 23:10,420,139,China
463,2/13/20 17:00,1,0,International
464,2/13/20 14:03,1,0,International
465,2/13/20 14:00,1,0,International
466,2/13/20 13:54,1,0,International
467,2/13/20 13:50,1,0,International
468,2/13/20 11:05,9,0,International
469,2/13/20 10:09,2,0,International
470,2/13/20 09:15,3,0,International
471,2/13/20 08:47,3,1,China
472,2/13/20 08:02,4,0,China
473,2/13/20 07:51,1,0,International
474,2/13/20 03:25,267,5,China
475,2/13/20 00:43,1,0,International
476,2/12/20 23:45,823,116,China
477,2/12/20 14:50,3,0,International
478,2/12/20 15:10,1,0,International
479,2/12/20 12:40,1,0,International
480,2/12/20 11:55,1,0,International
481,2/12/20 11:36,8,0,International
482,2/12/20 11:15,1,0,International
483,2/12/20 10:13,1,0,International
484,2/12/20 09:05,1,0,International
485,2/12/20 08:15,312,12,China
486,2/12/20 05:15,1,0,International
487,2/12/20 03:10,44,0,International
488,2/12/20 00:25,1,0,International
489,2/11/20 23:48,840,242,China
490,2/11/20 18:53,1,0,International
491,2/11/20 08:24,1,0,International
492,2/11/20 07:00,3,0,International
493,2/11/20 02:53,1,0,International
494,2/11/20 02:14,377,3,China
495,2/10/20 23:55,39,0,International
496,2/10/20 22:17,638,94,China
497,2/10/20 21:01,1,0,International
498,2/10/20 19:25,2,0,International
499,2/10/20 16:10,7,0,International
500,2/10/20 14:59,2,0,International
501,2/10/20 06:57,2,0,International
502,2/10/20 02:37,1,0,International
503,2/10/20 01:14,1,0,International
504,2/10/20 01:00,1,0,International
505,2/10/20 00:13,370,5,China
506,2/9/20 22:10,97,103,China
507,2/9/20 17:56,1,0,International
508,2/9/20 16:00,4,0,International
509,2/9/20 14:20,2,0,International
510,2/9/20 12:30,2,0,International
511,2/9/20 09:46,4,0,International
512,2/9/20 05:13,65,0,International
513,2/9/20 01:01,1,0,International
514,2/8/20 23:53,419,6,China
515,2/8/20 22:15,531,91,China
516,2/8/20 19:01,3,0,International
517,2/8/20 19:00,7,0,International
518,2/8/20 11:56,3,0,International
519,2/8/20 11:40,1,0,International
520,2/8/20 09:28,1,0,International
521,2/8/20 08:06,1,0,International
522,2/8/20 08:02,2,0,International
523,2/8/20 07:45,9,0,China
524,2/8/20 07:18,6,0,International
525,2/8/20 06:26,1,0,International
