"iso3c","cfr_mid","cfr_low","cfr_high"
"KHM",0.579894439699668,0.481567372379795,0.728027691327415
"KIR",0.528847733703933,0.438515064681948,0.667974678097216
"KOR",1.78851829599469,1.51050071735093,2.12753896549902
"KWT",0.527181968372788,0.431839936793346,0.673336747543591
"LAO",0.529670622836248,0.438474288684466,0.670109534212918
"LBN",0.885434152073961,0.740474374281402,1.08341301848291
"LBR",0.415179712860272,0.342227624993055,0.535638933980956
"LBY",0.582915628294961,0.482088058943252,0.735085036878826
"LCA",1.20173633358565,1.00940920194523,1.45121260748575
"LKA",1.22130837392736,1.03036957656685,1.46658871474438
"LSO",0.589680789935078,0.490172427546339,0.739094110543484
"LTU",2.2623378532273,1.91198101646003,2.68094712280943
"LUX",1.63470091728756,1.37738124888494,1.95419881449129
"LVA",2.21664701691547,1.87529349356432,2.62501038139075
"MAC",1.36746375469321,1.15121776078553,1.63911321614804
"MAR",0.88288140241066,0.739805977952433,1.07757112150404
"MDA",1.35821693198475,1.14377180352819,1.62779954674845
"MDG",0.396202784144563,0.325684353081553,0.513912567486231
"MDV",0.514141184218803,0.421364786440277,0.659746915873327
"MEX",0.892063783786576,0.746445940648425,1.09089248278364
"MKD",1.53588475554148,1.2975761748716,1.83165830827789
"MLI",0.310242417028355,0.253727272550256,0.412651163236043
"MLT",2.21961387963464,1.88199542732126,2.62384377982466
"MMR",0.740354483676229,0.617713134162059,0.913499318391097
"MNE",1.67205072492843,1.4124737350389,1.99059427715735
"MNG",0.580658994500795,0.480908219353249,0.730406960911353
"MOZ",0.353670478289616,0.290450104870529,0.463592045530641
"MRT",0.408987818636201,0.336614417212441,0.528994849752455
"MTQ",2.36133873502725,1.99810595204988,2.79261328501192
"MUS",1.37000983576394,1.15526475844396,1.6406147500289
"MWI",0.336939699115863,0.275848521032485,0.444971845020022
"MYS",0.839495182586367,0.702085687803849,1.02939007716987
"MYT",0.509523447196431,0.421857568620264,0.646415494129679
"NAM",0.456052135450365,0.376187269997119,0.584442935854629
"NCL",1.09429026414143,0.92042229355041,1.32277383700362
"NER",0.319841881688972,0.262697461969189,0.42218205981616
"NGA",0.350814935020705,0.287924378014263,0.460033202575496
"NIC",0.687097382616249,0.571736801788015,0.853642334729251
"NLD",2.12740246405094,1.80174808077165,2.51896017790152
"NOR",1.87307978920698,1.58451620627819,2.22549406934795
"NPL",0.668660082868377,0.557755375293546,0.82998274943501
"NZL",1.76454399938784,1.49201158794028,2.09891636125836
"OMN",0.397387219770721,0.321887231401893,0.524810046680565
"PAK",0.538119723966334,0.446385041753505,0.679136722604462
"PAN",0.993535231465516,0.832780082374765,1.20891233871671
"PER",0.992340923562484,0.832145908628228,1.20695252615216
"PHL",0.663459234250145,0.552538497863276,0.824626155529488
"PNG",0.454873459105466,0.375222702738686,0.582344303901173
"POL",1.99169418143054,1.68424168632912,2.36203012533357
"PRI",2.24135061422519,1.89793166911397,2.65268452594343
"PRK",1.16766937979112,0.982810507754992,1.40797374298625
"PRT",2.44583985284661,2.06993708335367,2.89321486177842
"PRY",0.776939006775997,0.649412747646627,0.956420249532774
"PSE",0.410343363528871,0.337542630139553,0.531205871134603
"PYF",1.03316639706092,0.867076398798166,1.25305750149517
"QAT",0.347506255891929,0.277136176939043,0.470050240258794
"REU",1.4132078545037,1.19133200782747,1.69193851188641
"ROU",2.0195641304914,1.70782962109177,2.39488289809552
"RUS",1.7099031527975,1.4428010018843,2.03679198344723
"RWA",0.401371214346526,0.330190299343996,0.520054189296976
"SAU",0.503718727752938,0.41304858591756,0.645531212723367
"SDN",0.448774857665244,0.370908764025964,0.57438778481119
"SEN",0.383936121161519,0.315957325062396,0.498961254615852
"SGP",1.48951737315231,1.25528316781837,1.7787478797397
"SLB",0.458346565183337,0.378904067447203,0.585825348169544
"SLE",0.374619037994932,0.307514548591981,0.489110816354801
"SLV",0.974908856077695,0.81767290557539,1.18648177574207
"SOM",0.354794070502646,0.291898708497504,0.463601031974706
"SRB",1.93302389847288,1.63671865885501,2.29132804092078
"SSD",0.416107760961517,0.343344833885473,0.536414654607057
"STP",0.400793812767783,0.329574982099917,0.51948991973937
"SUR",0.859343714138628,0.718924951421159,1.05248361857649
"SVK",1.7576007544083,1.48635820226561,2.08875683990693
"SVN",2.20100400272832,1.86196078132041,2.60620460871255
"SWE",2.14757284696815,1.81911259570959,2.54409335412362
"SWZ",0.4684677747284,0.387446951620633,0.598622371664696
"SYC",1.00325461256864,0.84029375509457,1.2196081553793
"SYR",0.594768812439442,0.493461946647832,0.74641469523687
"TCD",0.31417240753132,0.256980973526438,0.417245947807052
"TGO",0.371512781285358,0.304989163039241,0.485166266980096
"THA",1.47208617326498,1.24077056253319,1.76099235587581
"TJK",0.44729996141604,0.368294871696799,0.57397651707833
"TKM",0.617983629822786,0.512663908729741,0.772810377575757
"TLS",0.522152208136573,0.433761282343857,0.659357465098958
"TON",0.688745234017995,0.574990243128944,0.852832025506873
"TTO",1.27788307434632,1.07709223204151,1.53475733691749
"TUN",1.02231939299502,0.857603474657358,1.2404683060236
"TUR",1.02214174480019,0.857886298154804,1.24070866859483
"TWN",1.74452173551625,1.4721694644599,2.07684342401942
"TZA",0.342048579114954,0.28022936722799,0.450532285191403
"UGA",0.268558186209309,0.217741190237293,0.365231331453182
"UKR",1.83283870906683,1.54799782993938,2.17956151165739
"URY",1.6755187705309,1.4130748197426,2.00052088926389
"USA",1.78853334721036,1.512013519433,2.1265258051163
"UZB",0.624695227143022,0.518097817229148,0.780956988495602
"VCT",1.16028610597853,0.974339463924216,1.40194040037135
"VEN",0.928868991431021,0.778822788293956,1.13159024675215
"VIR",2.10453783361903,1.78751743730787,2.4842840447028
"VNM",0.966193778397206,0.807714671709408,1.17843947167486
"VUT",0.461089740517662,0.380678403385968,0.589690442454827
"WSM",0.613553536616098,0.511391306466408,0.764393885388841
"YEM",0.373381687025212,0.306283030666968,0.488045679462943
"ZAF",0.656034266533285,0.546198403019524,0.816524496572087
"ZMB",0.289372024280302,0.235079766590172,0.390129100085966
"ZWE",0.378084194048723,0.310556150953308,0.493025291216192
